CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,25,85.0,24,17.700000000000003,0.0,144.0
2,22,75.0,24,30.0,0.0,144.0
3,22,85.0,24,9.299999999999999,0.0,144.0
4,20,80.0,8,40.0,96.0,180.0
5,20,85.0,24,17.8,0.0,144.0
6,18,75.0,24,20.0,0.0,144.0
7,15,75.0,16,20.0,0.0,144.0
8,15,80.0,8,7.800000000000001,0.0,144.0
9,10,35.0,24,19.4,0.0,144.0
10,10,40.0,24,30.0,0.0,144.0
11,8,40.0,8,29.4,0.0,144.0
12,8,45.0,24,18.0,0.0,144.0
14,5,45.0,24,9.1,0.0,144.0
16,0,40.0,24,20.0,0.0,144.0
18,44,5.0,16,18.799999999999997,0.0,144.0
19,42,10.0,16,35.6,0.0,144.0
20,42,15.0,16,10.0,0.0,144.0
21,40,5.0,16,10.0,0.0,144.0
22,40,15.0,16,38.099999999999994,0.0,144.0
23,38,5.0,8,22.9,0.0,144.0
24,38,15.0,24,10.0,0.0,144.0
25,35,5.0,8,18.1,156.0,240.0
26,40,50.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
