CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,52,75.0,8,0.4,0.0,2034.0
2,45,70.0,8,2.0999999999999996,0.0,2034.0
7,58,70.0,8,1.6,0.0,2034.0
9,28,70.0,8,0.8999999999999999,2203.5,3390.0
13,22,75.0,8,2.3,2203.5,3390.0
15,20,80.0,8,2.5,1356.0,2542.5
16,20,85.0,8,40.0,1356.0,2542.5
18,15,75.0,8,1.1,0.0,2034.0
19,15,80.0,8,10.0,0.0,2034.0
20,30,50.0,8,1.0,0.0,2034.0
22,28,52.0,8,4.1,0.0,2034.0
26,8,62.0,8,0.6000000000000001,0.0,2034.0
28,4,55.0,8,6.300000000000001,0.0,2034.0
29,20,50.0,8,0.7,0.0,2034.0
31,10,35.0,8,20.0,0.0,2034.0
32,10,40.0,8,10.399999999999999,0.0,2034.0
33,8,40.0,8,4.5,0.0,2034.0
34,8,45.0,8,5.699999999999999,0.0,2034.0
35,5,35.0,8,0.4,0.0,2034.0
36,5,45.0,8,0.5,0.0,2034.0
37,2,40.0,8,3.5,0.0,2034.0
40,36,18.0,8,1.1,0.0,2034.0
41,35,32.0,8,1.5,2203.5,3390.0
42,33,32.0,8,1.3,2203.5,3390.0
44,32,20.0,8,10.0,1356.0,2542.5
45,30,30.0,8,0.7,1356.0,2542.5
47,30,35.0,8,0.8999999999999999,2203.5,3390.0
48,36,40.0,8,0.5,0.0,2034.0
49,48,20.0,8,2.7,0.0,2034.0
51,40,50.0,0,0.0,0.0,0.0
capacity,700,,0,0.0,,
