CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,8.0,10.0,803.4,1236.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,820.0,830.0,1050.0,1069.0,
2,45,70.0,16.0,30.0,494.4,927.0,,,11.2,0.0,0.0,0.8,17.1,0.0,0.0,0.9,754.0,737.0,950.0,939.0,
3,42,66.0,24.0,10.0,0.0,741.6,,,2.1,1.8,0.0,0.1,3.0,2.4,0.0,0.6,15.0,12.0,358.0,361.0,
4,42,68.0,8.0,10.0,494.4,927.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,640.0,623.0,886.0,880.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,0.0,2.7,1.3,0.0,0.0,3.5,2.5,0.0,6.0,4.0,242.0,240.0,
6,40,69.0,24.0,20.0,494.4,927.0,,,3.6,2.9,1.5,0.0,5.0,4.7,2.3,0.0,485.0,474.0,835.0,827.0,
7,40,66.0,32.0,20.0,0.0,741.6,,,3.1,2.6,1.4,0.9,5.5,4.0,2.0,0.4,80.0,80.0,309.0,325.0,
8,38,68.0,32.0,20.0,0.0,741.6,,,3.2,2.9,1.6,0.3,5.4,4.1,1.8,0.7,124.0,131.0,430.0,440.0,
9,38,70.0,16.0,10.0,0.0,741.6,,,0.0,2.6,1.4,0.0,0.0,3.6,2.4,0.0,405.0,427.0,734.0,731.0,
10,35,66.0,8.0,10.0,0.0,741.6,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,259.0,260.0,499.0,502.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,358.0,341.0,601.0,612.0,
12,25,85.0,16.0,20.0,494.4,927.0,,,4.7,3.3,0.0,0.0,6.7,5.3,0.0,0.0,528.0,539.0,833.0,848.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,11.3,0.0,0.0,0.7,16.2,0.0,0.0,1.8,5.0,15.0,288.0,289.0,
14,22,85.0,8.0,10.0,0.0,741.6,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,483.0,478.0,706.0,715.0,
15,20,80.0,16.0,40.0,0.0,741.6,,,0.0,14.2,0.0,1.8,0.0,18.9,0.0,5.1,309.0,317.0,505.0,502.0,
16,20,85.0,24.0,40.0,0.0,741.6,,,8.2,6.5,0.0,1.3,13.4,9.0,0.0,1.6,384.0,377.0,615.0,611.0,
17,18,75.0,16.0,20.0,0.0,741.6,,,6.7,0.0,0.0,1.3,9.8,0.0,0.0,2.2,24.0,19.0,241.0,233.0,
18,15,75.0,16.0,20.0,0.0,741.6,,,0.0,4.1,3.9,0.0,0.0,7.5,4.5,0.0,56.0,38.0,388.0,374.0,
