CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,2.6,1.4,4.2,1.8,0.0,0.0,3373.0,3372.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,6.9,5.1,12.1,5.9,0.0,0.0,3314.0,3325.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,0.0,0.0,3360.0,3385.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,1250.0,1253.0,1432.0,1429.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,0.0,0.0,3317.0,3318.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,4.3,3.7,7.3,4.7,495.0,482.0,673.0,659.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,4.8,3.2,7.1,4.9,0.0,0.0,3369.0,3371.0,
8,34,60.0,8.0,20.0,2203.5,3390.0,,,8.0,0.0,12.0,0.0,2883.0,2874.0,3054.0,3051.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,2.8,1.2,3.5,2.5,2590.0,2596.0,2763.0,2761.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,2.8,1.2,4.1,1.9,2775.0,2777.0,2953.0,2960.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2691.0,2697.0,2866.0,2864.0,
12,25,85.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,0.0,0.0,3300.0,3314.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,0.0,12.0,0.0,18.0,2403.0,2393.0,2577.0,2573.0,
14,22,85.0,16.0,10.0,1356.0,2542.5,,,2.8,1.2,4.0,2.0,2011.0,2025.0,2202.0,2196.0,
15,20,80.0,16.0,40.0,1356.0,2542.5,,,10.9,5.1,15.6,8.4,2210.0,2211.0,2391.0,2380.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,9.7,6.3,15.9,8.1,1928.0,1934.0,2106.0,2110.0,
17,18,75.0,8.0,20.0,1356.0,2542.5,,,0.0,8.0,0.0,12.0,2306.0,2303.0,2487.0,2480.0,
18,15,75.0,8.0,20.0,0.0,2034.0,,,8.0,0.0,12.0,0.0,1730.0,1726.0,1908.0,1911.0,
19,15,80.0,16.0,10.0,0.0,2034.0,,,2.5,1.5,3.2,2.8,1821.0,1831.0,2006.0,2013.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,2.7,1.3,4.1,1.9,4.0,0.0,175.0,170.0,
21,30,56.0,16.0,20.0,0.0,2034.0,,,4.5,3.5,7.2,4.8,0.0,0.0,3374.0,3377.0,
