CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,0.0,3326.0,
2,45,70.0,8.0,30.0,0.0,2034.0,,,0.0,30.0,0.0,3360.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,0.0,3373.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1251.0,1425.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,5.7,4.3,0.0,3329.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,12.5,7.5,482.0,666.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,12.3,7.7,0.0,3330.0,
8,34,60.0,8.0,20.0,2203.5,3390.0,,,0.0,20.0,2879.0,3050.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,6.9,3.1,2588.0,2763.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,6.4,3.6,2784.0,2964.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2697.0,2866.0,
12,25,85.0,8.0,20.0,0.0,2034.0,,,20.0,0.0,0.0,3333.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,30.0,0.0,2392.0,2578.0,
14,22,85.0,16.0,10.0,0.0,2034.0,,,7.4,2.6,0.0,3369.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,0.0,40.0,2207.0,2391.0,
16,20,85.0,8.0,40.0,0.0,2034.0,,,0.0,40.0,0.0,3261.0,
17,18,75.0,16.0,20.0,1356.0,2542.5,,,12.4,7.6,2301.0,2477.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,11.2,8.8,0.0,3308.0,
19,15,80.0,16.0,10.0,0.0,2034.0,,,6.0,4.0,0.0,3354.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,6.7,3.3,0.0,3290.0,
21,30,56.0,16.0,20.0,0.0,2034.0,,,11.1,8.9,0.0,3315.0,
22,28,52.0,8.0,20.0,0.0,2034.0,,,20.0,0.0,11.0,191.0,
23,14,66.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1642.0,1808.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,0.0,3338.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,40.0,0.0,2494.0,2671.0,
