CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,650.0,1000.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,617.0,632.0,928.0,926.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,0.0,0.0,0.0,2.8,0.0,0.0,0.0,4.2,47.0,49.0,362.0,374.0,
3,55,45.0,24.0,13.0,400.0,750.0,,,3.1,1.6,0.0,0.6,3.9,3.3,0.0,0.7,497.0,488.0,613.0,623.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,4.0,3.6,0.0,0.0,6.2,5.2,0.0,0.0,465.0,420.0,990.0,981.0,
5,15,30.0,24.0,26.0,0.0,600.0,,,5.4,4.0,0.0,1.0,8.8,5.9,0.0,1.0,18.0,8.0,389.0,391.0,
6,25,30.0,32.0,3.0,0.0,600.0,,,0.5,0.3,0.3,0.1,0.8,0.5,0.4,0.1,231.0,259.0,692.0,694.0,
7,20,50.0,32.0,5.0,0.0,600.0,,,0.7,0.7,0.5,0.2,1.3,1.0,0.5,0.1,287.0,282.0,453.0,461.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,0.0,0.0,0.0,3.6,0.0,0.0,0.0,5.4,280.0,259.0,611.0,613.0,
9,55,60.0,24.0,16.0,0.0,600.0,,,4.6,0.0,1.6,0.3,6.9,0.0,2.4,0.3,232.0,217.0,652.0,671.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,0.0,0.0,6.4,0.0,0.0,0.0,9.6,0.0,490.0,482.0,722.0,713.0,
11,20,65.0,32.0,12.0,0.0,600.0,,,2.1,1.5,0.7,0.5,2.6,2.2,1.5,0.8,12.0,22.0,520.0,543.0,
12,50,35.0,24.0,19.0,0.0,600.0,,,3.7,2.9,0.0,1.0,6.1,5.1,0.0,0.2,170.0,150.0,404.0,406.0,
13,30,25.0,16.0,23.0,650.0,1000.0,,,0.0,8.4,0.0,0.8,0.0,10.3,0.0,3.5,407.0,374.0,986.0,995.0,
14,15,10.0,16.0,20.0,0.0,600.0,,,0.0,0.0,5.3,2.7,0.0,0.0,6.6,5.4,0.0,12.0,482.0,456.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,0.0,2.3,0.9,0.0,0.0,2.9,1.9,0.0,15.0,9.0,569.0,549.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,7.6,0.0,0.0,0.0,11.4,0.0,0.0,0.0,219.0,205.0,443.0,426.0,
17,5,30.0,16.0,2.0,400.0,750.0,,,0.0,0.0,0.5,0.3,0.0,0.0,1.0,0.2,391.0,396.0,998.0,970.0,
18,20,40.0,24.0,12.0,0.0,600.0,,,3.2,0.0,1.3,0.3,4.5,0.0,2.5,0.2,340.0,345.0,468.0,471.0,
19,15,60.0,16.0,17.0,0.0,600.0,,,3.7,3.1,0.0,0.0,5.6,4.6,0.0,0.0,212.0,205.0,453.0,445.0,
20,45,65.0,16.0,9.0,400.0,750.0,,,0.0,2.5,1.1,0.0,0.0,3.2,2.2,0.0,528.0,526.0,719.0,713.0,
21,45,20.0,24.0,11.0,0.0,600.0,,,0.0,2.6,1.1,0.7,0.0,3.4,1.9,1.3,148.0,135.0,405.0,410.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,0.0,7.2,0.0,0.0,0.0,10.8,0.0,0.0,267.0,254.0,646.0,649.0,
23,55,5.0,16.0,29.0,0.0,600.0,,,0.0,8.6,0.0,3.0,0.0,13.3,0.0,4.1,23.0,2.0,546.0,521.0,
24,65,35.0,16.0,3.0,650.0,1000.0,,,0.7,0.5,0.0,0.0,1.1,0.7,0.0,0.0,628.0,626.0,943.0,941.0,
25,65,20.0,32.0,6.0,400.0,750.0,,,1.0,0.8,0.5,0.2,1.5,1.1,0.6,0.4,391.0,344.0,988.0,989.0,
26,45,30.0,16.0,17.0,400.0,750.0,,,0.0,0.0,4.6,2.2,0.0,0.0,7.3,2.9,539.0,535.0,713.0,721.0,
27,35,40.0,24.0,16.0,0.0,600.0,,,3.8,0.0,1.7,0.9,5.7,0.0,2.7,1.2,0.0,0.0,621.0,614.0,
28,41,37.0,16.0,16.0,0.0,600.0,,,4.5,0.0,1.9,0.0,6.9,0.0,2.7,0.0,43.0,35.0,351.0,328.0,
29,64,42.0,24.0,9.0,0.0,600.0,,,1.9,1.2,0.0,0.5,2.7,2.2,0.0,0.4,108.0,120.0,396.0,382.0,
30,40,60.0,16.0,21.0,0.0,600.0,,,0.0,7.1,0.0,1.3,0.0,10.0,0.0,2.6,93.0,112.0,510.0,535.0,
31,31,52.0,8.0,27.0,0.0,600.0,,,10.8,0.0,0.0,0.0,16.2,0.0,0.0,0.0,88.0,82.0,341.0,343.0,
32,35,69.0,8.0,23.0,650.0,1000.0,,,0.0,0.0,9.2,0.0,0.0,0.0,13.8,0.0,597.0,591.0,843.0,847.0,
33,53,52.0,24.0,11.0,0.0,600.0,,,2.3,1.7,0.0,0.4,3.2,2.9,0.0,0.5,15.0,13.0,675.0,650.0,
34,65,55.0,24.0,14.0,400.0,750.0,,,3.9,0.0,1.3,0.4,4.8,0.0,2.9,0.6,477.0,479.0,670.0,667.0,
35,63,65.0,24.0,8.0,400.0,750.0,,,1.6,1.1,0.5,0.0,2.2,1.5,1.1,0.0,401.0,428.0,997.0,995.0,
36,2,60.0,24.0,5.0,0.0,600.0,,,0.0,0.9,0.9,0.2,0.0,1.3,1.1,0.5,31.0,31.0,769.0,731.0,
37,20,20.0,8.0,8.0,400.0,750.0,,,0.0,3.2,0.0,0.0,0.0,4.8,0.0,0.0,556.0,548.0,750.0,741.0,
38,5,5.0,16.0,16.0,0.0,600.0,,,3.7,2.7,0.0,0.0,6.0,3.6,0.0,0.0,143.0,121.0,570.0,561.0,
39,60,12.0,16.0,31.0,0.0,600.0,,,0.0,6.9,5.5,0.0,0.0,11.3,7.3,0.0,1.0,29.0,840.0,833.0,
40,40,25.0,8.0,9.0,0.0,600.0,,,0.0,0.0,0.0,3.6,0.0,0.0,0.0,5.4,233.0,221.0,562.0,582.0,
41,42,7.0,16.0,5.0,0.0,600.0,,,0.0,1.7,0.0,0.3,0.0,2.6,0.0,0.4,185.0,220.0,701.0,708.0,
42,24,12.0,24.0,5.0,0.0,600.0,,,0.0,1.0,0.6,0.3,0.0,1.7,0.8,0.5,15.0,14.0,616.0,618.0,
43,23,3.0,24.0,7.0,400.0,750.0,,,1.2,0.9,0.7,0.0,1.8,1.7,0.6,0.0,573.0,565.0,752.0,757.0,
44,11,14.0,16.0,18.0,0.0,600.0,,,4.7,0.0,2.5,0.0,8.1,0.0,2.7,0.0,52.0,40.0,537.0,537.0,
45,6,38.0,8.0,16.0,0.0,600.0,,,6.4,0.0,0.0,0.0,9.6,0.0,0.0,0.0,5.0,4.0,721.0,717.0,
46,2,48.0,24.0,1.0,400.0,750.0,,,0.2,0.1,0.1,0.0,0.3,0.2,0.1,0.0,446.0,443.0,702.0,691.0,
47,8,56.0,24.0,27.0,0.0,600.0,,,5.7,4.5,0.0,0.6,8.9,5.0,0.0,2.3,30.0,33.0,389.0,383.0,
48,13,52.0,32.0,36.0,650.0,1000.0,,,6.2,5.0,2.3,0.8,8.4,6.7,4.6,1.9,674.0,678.0,972.0,984.0,
49,6,68.0,16.0,30.0,0.0,600.0,,,8.4,0.0,3.6,0.0,13.9,0.0,4.1,0.0,440.0,441.0,601.0,611.0,
50,47,47.0,24.0,13.0,400.0,750.0,,,2.7,2.0,0.0,0.5,4.8,2.6,0.0,0.4,487.0,488.0,707.0,692.0,
51,49,58.0,16.0,10.0,0.0,600.0,,,2.8,0.0,1.2,0.0,4.4,0.0,1.6,0.0,295.0,285.0,520.0,521.0,
52,27,43.0,16.0,9.0,0.0,600.0,,,0.0,0.0,2.5,1.1,0.0,0.0,4.8,0.6,98.0,95.0,376.0,362.0,
53,37,31.0,16.0,14.0,0.0,600.0,,,4.4,0.0,1.2,0.0,5.3,0.0,3.1,0.0,299.0,301.0,615.0,624.0,
54,57,29.0,16.0,18.0,400.0,750.0,,,5.9,0.0,0.0,1.3,8.7,0.0,0.0,2.1,585.0,589.0,796.0,786.0,
55,63,23.0,16.0,2.0,400.0,750.0,,,0.4,0.4,0.0,0.0,0.7,0.5,0.0,0.0,435.0,405.0,937.0,919.0,
56,53,12.0,16.0,6.0,400.0,750.0,,,0.0,1.9,0.0,0.5,0.0,3.4,0.0,0.2,386.0,397.0,886.0,873.0,
57,32,12.0,16.0,7.0,0.0,600.0,,,1.9,0.0,0.9,0.0,2.8,0.0,1.4,0.0,350.0,351.0,604.0,604.0,
58,36,26.0,8.0,18.0,650.0,1000.0,,,0.0,0.0,7.2,0.0,0.0,0.0,10.8,0.0,426.0,440.0,987.0,989.0,
59,21,24.0,16.0,28.0,0.0,600.0,,,7.5,0.0,3.7,0.0,11.7,0.0,5.1,0.0,0.0,2.0,473.0,459.0,
60,17,34.0,24.0,3.0,650.0,1000.0,,,0.6,0.4,0.3,0.0,0.8,0.7,0.3,0.0,628.0,623.0,940.0,958.0,
61,12,24.0,32.0,13.0,0.0,600.0,,,2.1,1.7,1.0,0.4,3.8,2.3,1.4,0.3,230.0,237.0,431.0,436.0,
62,24,58.0,32.0,19.0,0.0,600.0,,,3.6,2.8,1.1,0.1,5.5,2.9,2.2,0.8,0.0,15.0,631.0,638.0,
63,27,69.0,24.0,10.0,0.0,600.0,,,2.7,0.0,1.2,0.1,3.9,0.0,1.3,0.8,21.0,8.0,367.0,379.0,
64,15,77.0,32.0,9.0,0.0,600.0,,,1.5,1.3,0.5,0.3,2.5,1.8,0.8,0.3,25.0,41.0,532.0,544.0,
65,62,77.0,8.0,20.0,0.0,600.0,,,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,41.0,26.0,649.0,649.0,
66,49,73.0,8.0,25.0,400.0,750.0,,,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,420.0,435.0,851.0,855.0,
67,67,5.0,24.0,25.0,0.0,600.0,,,5.0,3.2,1.7,0.0,6.9,5.2,2.9,0.0,90.0,99.0,600.0,578.0,
68,56,39.0,8.0,36.0,400.0,750.0,,,0.0,14.4,0.0,0.0,0.0,21.6,0.0,0.0,437.0,432.0,935.0,961.0,
69,37,47.0,32.0,6.0,0.0,600.0,,,1.1,0.7,0.5,0.1,1.6,1.0,0.7,0.3,10.0,11.0,570.0,562.0,
70,37,56.0,24.0,5.0,0.0,600.0,,,1.1,0.6,0.0,0.2,1.7,1.2,0.0,0.1,226.0,205.0,988.0,998.0,
71,57,68.0,24.0,15.0,0.0,600.0,,,3.1,2.4,0.0,0.5,5.2,3.6,0.0,0.2,203.0,199.0,434.0,430.0,
72,47,16.0,32.0,25.0,0.0,600.0,,,5.1,2.7,2.1,0.1,5.8,5.2,2.6,1.4,18.0,1.0,381.0,390.0,
73,44,17.0,32.0,9.0,0.0,600.0,,,1.7,1.0,0.5,0.4,2.4,1.5,1.0,0.5,250.0,262.0,446.0,457.0,
74,46,13.0,32.0,8.0,650.0,1000.0,,,1.6,1.0,0.5,0.1,2.4,1.5,0.8,0.1,465.0,451.0,970.0,987.0,
75,49,11.0,32.0,18.0,0.0,600.0,,,2.9,2.7,1.1,0.5,4.4,3.3,2.2,0.9,181.0,174.0,408.0,419.0,
76,49,42.0,32.0,13.0,0.0,600.0,,,2.0,1.6,1.1,0.4,3.7,2.5,1.4,0.1,143.0,166.0,515.0,523.0,
77,53,43.0,32.0,14.0,400.0,750.0,,,2.5,1.6,1.2,0.3,3.4,2.5,1.5,1.0,417.0,384.0,984.0,970.0,
78,61,52.0,8.0,3.0,0.0,600.0,,,1.2,0.0,0.0,0.0,1.8,0.0,0.0,0.0,206.0,170.0,711.0,671.0,
79,57,48.0,16.0,23.0,0.0,600.0,,,0.0,0.0,6.7,2.5,0.0,0.0,12.9,0.9,249.0,269.0,585.0,597.0,
80,56,37.0,24.0,6.0,650.0,1000.0,,,1.1,0.8,0.4,0.0,1.6,1.3,0.7,0.1,417.0,416.0,998.0,976.0,
81,55,54.0,16.0,26.0,0.0,600.0,,,0.0,0.0,7.5,2.9,0.0,0.0,9.4,6.2,382.0,383.0,486.0,486.0,
82,15,47.0,32.0,16.0,0.0,600.0,,,3.0,2.3,1.0,0.1,4.3,2.7,2.0,0.6,79.0,78.0,376.0,355.0,
83,14,37.0,24.0,11.0,0.0,600.0,,,2.4,1.7,0.0,0.2,3.5,2.3,0.0,0.8,0.0,9.0,335.0,349.0,
84,11,31.0,24.0,7.0,0.0,600.0,,,0.0,1.5,0.9,0.4,0.0,2.3,1.5,0.4,316.0,314.0,638.0,639.0,
85,16,22.0,24.0,41.0,0.0,600.0,,,8.7,6.5,0.0,1.2,12.2,9.5,0.0,2.9,323.0,321.0,504.0,517.0,
86,4,18.0,16.0,35.0,0.0,600.0,,,12.0,0.0,0.0,2.0,18.0,0.0,0.0,3.0,344.0,344.0,517.0,503.0,
87,28,18.0,8.0,26.0,0.0,600.0,,,0.0,0.0,10.4,0.0,0.0,0.0,15.6,0.0,369.0,373.0,488.0,490.0,
