CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,650.0,1000.0,,,10.0,0.0,451.0,992.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,7.0,0.0,5.0,539.0,
3,55,45.0,8.0,13.0,400.0,750.0,,,0.0,13.0,354.0,734.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,13.7,5.3,448.0,978.0,
5,15,30.0,16.0,26.0,0.0,600.0,,,18.2,7.8,4.0,669.0,
6,25,30.0,8.0,3.0,0.0,600.0,,,3.0,0.0,204.0,696.0,
7,20,50.0,16.0,5.0,0.0,600.0,,,3.5,1.5,152.0,569.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,0.0,9.0,234.0,673.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,0.0,16.0,207.0,700.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,0.0,16.0,395.0,806.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,0.0,12.0,19.0,549.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,19.0,0.0,50.0,550.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,23.0,0.0,417.0,989.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,0.0,20.0,17.0,737.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,4.4,3.6,24.0,557.0,
16,10,20.0,16.0,19.0,0.0,600.0,,,13.0,6.0,94.0,559.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,1.4,0.6,436.0,986.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,8.9,3.1,224.0,595.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,17.0,0.0,52.0,593.0,
20,45,65.0,16.0,9.0,400.0,750.0,,,5.7,3.3,397.0,847.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,0.0,11.0,5.0,518.0,
22,45,10.0,16.0,18.0,0.0,600.0,,,10.8,7.2,225.0,686.0,
23,55,5.0,16.0,29.0,0.0,600.0,,,18.5,10.5,33.0,520.0,
24,65,35.0,16.0,3.0,400.0,750.0,,,1.7,1.3,409.0,975.0,
25,65,20.0,16.0,6.0,400.0,750.0,,,3.8,2.2,422.0,1000.0,
26,45,30.0,8.0,17.0,400.0,750.0,,,17.0,0.0,402.0,850.0,
27,35,40.0,16.0,16.0,0.0,600.0,,,10.9,5.1,3.0,554.0,
28,41,37.0,8.0,16.0,0.0,600.0,,,16.0,0.0,2.0,577.0,
29,64,42.0,8.0,9.0,0.0,600.0,,,0.0,9.0,28.0,556.0,
30,40,60.0,8.0,21.0,0.0,600.0,,,21.0,0.0,65.0,531.0,
31,31,52.0,16.0,27.0,0.0,600.0,,,15.1,11.9,5.0,515.0,
32,35,69.0,8.0,23.0,650.0,1000.0,,,23.0,0.0,441.0,966.0,
