CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,650.0,1000.0,,,2.3,1.7,3.7,2.3,444.0,436.0,978.0,988.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,2.8,0.0,4.2,0.0,5.0,10.0,572.0,578.0,
3,55,45.0,8.0,13.0,400.0,750.0,,,5.2,0.0,7.8,0.0,371.0,355.0,758.0,761.0,
4,55,20.0,8.0,19.0,650.0,1000.0,,,7.6,0.0,11.4,0.0,445.0,476.0,978.0,980.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,0.0,10.4,0.0,15.6,10.0,2.0,613.0,669.0,
6,25,30.0,8.0,3.0,0.0,600.0,,,1.2,0.0,1.8,0.0,205.0,225.0,689.0,696.0,
7,20,50.0,16.0,5.0,0.0,600.0,,,1.1,0.9,1.7,1.3,139.0,137.0,583.0,577.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,2.5,1.1,3.4,2.0,238.0,220.0,672.0,644.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,4.1,2.3,6.3,3.3,210.0,202.0,694.0,693.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,6.4,0.0,9.6,0.0,414.0,406.0,813.0,813.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,0.0,4.8,0.0,7.2,26.0,0.0,515.0,514.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,0.0,7.6,0.0,11.4,26.0,16.0,553.0,523.0,
13,30,25.0,16.0,23.0,650.0,1000.0,,,6.3,2.9,8.5,5.3,416.0,421.0,997.0,992.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,0.0,8.0,0.0,12.0,17.0,4.0,731.0,704.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,2.1,1.1,3.0,1.8,8.0,1.0,552.0,529.0,
16,10,20.0,16.0,19.0,0.0,600.0,,,5.4,2.2,7.0,4.4,74.0,68.0,580.0,544.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,0.5,0.3,0.8,0.4,413.0,433.0,993.0,991.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,2.9,1.9,5.0,2.2,196.0,198.0,601.0,587.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,6.8,0.0,10.2,0.0,81.0,51.0,557.0,585.0,
20,45,65.0,8.0,9.0,400.0,750.0,,,3.6,0.0,5.4,0.0,395.0,378.0,859.0,862.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,4.4,0.0,6.6,0.0,27.0,3.0,510.0,510.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,0.0,7.2,0.0,10.8,207.0,245.0,662.0,670.0,
23,55,5.0,16.0,29.0,0.0,600.0,,,8.3,3.3,12.1,5.3,28.0,14.0,532.0,520.0,
24,65,35.0,16.0,3.0,400.0,750.0,,,0.6,0.6,1.0,0.8,394.0,382.0,969.0,963.0,
25,65,20.0,16.0,6.0,400.0,750.0,,,1.7,0.7,2.5,1.1,386.0,429.0,960.0,961.0,
26,45,30.0,16.0,17.0,400.0,750.0,,,4.4,2.4,5.4,4.8,413.0,412.0,831.0,844.0,
27,35,40.0,8.0,16.0,0.0,600.0,,,0.0,6.4,0.0,9.6,0.0,3.0,583.0,562.0,
28,41,37.0,8.0,16.0,0.0,600.0,,,6.4,0.0,9.6,0.0,0.0,6.0,529.0,547.0,
29,64,42.0,16.0,9.0,0.0,600.0,,,2.2,1.4,3.3,2.1,9.0,26.0,533.0,551.0,
30,40,60.0,16.0,21.0,0.0,600.0,,,4.7,3.7,7.8,4.8,87.0,81.0,552.0,523.0,
31,31,52.0,16.0,27.0,0.0,600.0,,,6.2,4.6,9.7,6.5,4.0,4.0,502.0,502.0,
32,35,69.0,16.0,23.0,650.0,1000.0,,,5.4,3.8,7.8,6.0,470.0,455.0,988.0,963.0,
33,53,52.0,8.0,11.0,0.0,600.0,,,4.4,0.0,6.6,0.0,1.0,4.0,612.0,628.0,
34,65,55.0,16.0,14.0,400.0,750.0,,,3.6,2.0,4.7,3.7,355.0,329.0,811.0,795.0,
35,63,65.0,16.0,8.0,650.0,1000.0,,,2.0,1.2,2.8,2.0,414.0,406.0,971.0,964.0,
36,2,60.0,8.0,5.0,0.0,600.0,,,2.0,0.0,3.0,0.0,17.0,33.0,648.0,640.0,
37,20,20.0,8.0,8.0,400.0,750.0,,,0.0,3.2,0.0,4.8,432.0,401.0,871.0,859.0,
38,5,5.0,16.0,16.0,0.0,600.0,,,4.3,2.1,6.5,3.1,126.0,103.0,618.0,602.0,
39,60,12.0,8.0,31.0,0.0,600.0,,,12.4,0.0,18.6,0.0,14.0,5.0,665.0,708.0,
40,40,25.0,8.0,9.0,0.0,600.0,,,3.6,0.0,5.4,0.0,186.0,170.0,614.0,607.0,
41,42,7.0,8.0,5.0,0.0,600.0,,,0.0,2.0,0.0,3.0,206.0,214.0,711.0,691.0,
42,24,12.0,16.0,5.0,0.0,600.0,,,1.4,0.6,1.8,1.2,4.0,12.0,588.0,579.0,
43,23,3.0,8.0,7.0,400.0,750.0,,,0.0,2.8,0.0,4.2,431.0,458.0,905.0,903.0,
44,11,14.0,8.0,18.0,0.0,600.0,,,7.2,0.0,10.8,0.0,52.0,51.0,529.0,540.0,
45,6,38.0,8.0,16.0,0.0,600.0,,,0.0,6.4,0.0,9.6,28.0,23.0,598.0,590.0,
46,2,48.0,8.0,1.0,400.0,750.0,,,0.4,0.0,0.6,0.0,316.0,313.0,822.0,807.0,
47,8,56.0,16.0,27.0,0.0,600.0,,,6.1,4.7,11.3,4.9,1.0,3.0,621.0,630.0,
48,13,52.0,8.0,36.0,650.0,1000.0,,,0.0,14.4,0.0,21.6,421.0,435.0,977.0,978.0,
49,6,68.0,8.0,30.0,400.0,750.0,,,0.0,12.0,0.0,18.0,358.0,343.0,705.0,707.0,
50,47,47.0,16.0,13.0,400.0,750.0,,,2.9,2.3,4.9,2.9,356.0,353.0,811.0,830.0,
51,49,58.0,8.0,10.0,0.0,600.0,,,0.0,4.0,0.0,6.0,138.0,166.0,628.0,655.0,
