CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,0.0,144.0,,,4.7,3.3,7.7,4.3,0.0,0.0,209.0,205.0,
2,22,75.0,16.0,30.0,0.0,144.0,,,8.7,3.3,12.8,5.2,0.0,0.0,211.0,200.0,
3,22,85.0,16.0,10.0,0.0,144.0,,,2.3,1.7,4.0,2.0,0.0,0.0,193.0,190.0,
4,20,80.0,8.0,40.0,96.0,180.0,,,0.0,16.0,0.0,24.0,138.0,138.0,172.0,174.0,
5,20,85.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,0.0,0.0,190.0,191.0,
6,18,75.0,16.0,20.0,0.0,144.0,,,4.6,3.4,7.8,4.2,95.0,92.0,125.0,128.0,
7,15,75.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,0.0,0.0,208.0,210.0,
8,15,80.0,16.0,10.0,0.0,144.0,,,2.8,1.2,3.7,2.3,88.0,88.0,124.0,123.0,
9,10,35.0,16.0,20.0,0.0,144.0,,,5.5,2.5,7.5,4.5,91.0,91.0,121.0,124.0,
10,10,40.0,8.0,30.0,96.0,180.0,,,12.0,0.0,18.0,0.0,117.0,117.0,149.0,152.0,
11,8,40.0,8.0,40.0,0.0,144.0,,,16.0,0.0,24.0,0.0,58.0,58.0,91.0,89.0,
12,8,45.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,0.0,0.0,210.0,214.0,
13,5,35.0,8.0,10.0,96.0,180.0,,,0.0,4.0,0.0,6.0,139.0,141.0,172.0,174.0,
14,5,45.0,16.0,10.0,0.0,144.0,,,2.1,1.9,3.5,2.5,32.0,35.0,68.0,67.0,
15,2,40.0,16.0,20.0,0.0,144.0,,,4.7,3.3,7.3,4.7,56.0,57.0,90.0,91.0,
16,0,40.0,16.0,20.0,0.0,144.0,,,4.7,3.3,7.8,4.2,71.0,72.0,105.0,104.0,
17,0,45.0,8.0,20.0,96.0,180.0,,,8.0,0.0,12.0,0.0,146.0,149.0,182.0,179.0,
18,44,5.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,87.0,84.0,118.0,118.0,
19,42,10.0,8.0,40.0,0.0,144.0,,,16.0,0.0,24.0,0.0,69.0,71.0,105.0,104.0,
20,42,15.0,16.0,10.0,96.0,180.0,,,2.2,1.8,4.2,1.8,120.0,119.0,154.0,153.0,
21,40,5.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,0.0,0.0,187.0,195.0,
22,40,15.0,8.0,40.0,0.0,144.0,,,16.0,0.0,24.0,0.0,91.0,89.0,123.0,125.0,
23,38,5.0,16.0,30.0,0.0,144.0,,,7.7,4.3,10.2,7.8,65.0,64.0,98.0,95.0,
24,38,15.0,8.0,10.0,96.0,180.0,,,4.0,0.0,6.0,0.0,145.0,146.0,180.0,179.0,
25,35,5.0,16.0,20.0,156.0,240.0,,,5.1,2.9,7.4,4.6,152.0,153.0,186.0,186.0,
26,95,30.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,0.0,0.0,184.0,186.0,
27,95,35.0,16.0,20.0,0.0,144.0,,,5.3,2.7,7.4,4.6,59.0,61.0,94.0,93.0,
28,92,30.0,16.0,10.0,0.0,144.0,,,2.4,1.6,3.6,2.4,60.0,59.0,95.0,93.0,
29,90,35.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,67.0,67.0,100.0,97.0,
30,88,30.0,16.0,10.0,0.0,144.0,,,2.4,1.6,4.0,2.0,73.0,74.0,106.0,105.0,
31,88,35.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,0.0,0.0,179.0,192.0,
32,87,30.0,8.0,10.0,96.0,180.0,,,4.0,0.0,6.0,0.0,129.0,129.0,162.0,164.0,
33,85,25.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,51.0,51.0,82.0,82.0,
34,85,35.0,8.0,30.0,0.0,144.0,,,12.0,0.0,18.0,0.0,0.0,0.0,193.0,183.0,
35,67,85.0,16.0,20.0,96.0,180.0,,,4.7,3.3,6.9,5.1,138.0,136.0,172.0,171.0,
36,65,85.0,16.0,40.0,0.0,144.0,,,9.4,6.6,13.4,10.6,43.0,43.0,74.0,74.0,
37,65,82.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,0.0,0.0,193.0,202.0,
38,62,80.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,72.0,72.0,108.0,106.0,
39,60,80.0,16.0,10.0,0.0,144.0,,,2.7,1.3,4.0,2.0,34.0,36.0,68.0,67.0,
40,60,85.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,83.0,85.0,116.0,117.0,
41,58,75.0,16.0,20.0,0.0,144.0,,,4.3,3.7,6.5,5.5,92.0,89.0,122.0,125.0,
42,55,80.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,33.0,31.0,66.0,63.0,
43,55,85.0,8.0,20.0,96.0,180.0,,,8.0,0.0,12.0,0.0,126.0,127.0,159.0,158.0,
44,55,82.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,64.0,61.0,95.0,95.0,
45,20,82.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,37.0,35.0,69.0,70.0,
46,18,80.0,16.0,10.0,0.0,144.0,,,2.4,1.6,3.2,2.8,111.0,112.0,145.0,146.0,
47,2,45.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,44.0,45.0,78.0,77.0,
48,42,5.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,0.0,0.0,192.0,186.0,
49,42,12.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,101.0,102.0,137.0,137.0,
50,72,35.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,0.0,0.0,194.0,204.0,
51,55,20.0,16.0,19.0,0.0,144.0,,,4.7,2.9,7.3,4.1,81.0,80.0,113.0,115.0,
52,25,30.0,16.0,3.0,0.0,144.0,,,0.9,0.3,1.2,0.6,0.0,0.0,205.0,212.0,
53,20,50.0,8.0,5.0,0.0,144.0,,,0.0,2.0,0.0,3.0,88.0,89.0,123.0,124.0,
54,55,60.0,16.0,16.0,96.0,180.0,,,4.3,2.1,6.7,2.9,136.0,136.0,171.0,170.0,
55,30,60.0,16.0,16.0,96.0,180.0,,,3.9,2.5,6.5,3.1,138.0,139.0,171.0,171.0,
56,50,35.0,16.0,19.0,96.0,180.0,,,4.0,3.6,7.9,3.5,127.0,127.0,160.0,163.0,
57,30,25.0,16.0,23.0,0.0,144.0,,,6.3,2.9,9.1,4.7,95.0,94.0,126.0,129.0,
58,15,10.0,8.0,20.0,96.0,180.0,,,0.0,8.0,0.0,12.0,149.0,152.0,184.0,184.0,
59,10,20.0,16.0,19.0,0.0,144.0,,,5.1,2.5,8.1,3.3,0.0,0.0,200.0,199.0,
60,15,60.0,16.0,17.0,156.0,240.0,,,4.7,2.1,6.1,4.1,152.0,155.0,186.0,187.0,
61,45,65.0,8.0,9.0,0.0,144.0,,,0.0,3.6,0.0,5.4,64.0,65.0,96.0,98.0,
62,65,35.0,8.0,3.0,0.0,144.0,,,0.0,1.2,0.0,1.8,50.0,50.0,82.0,82.0,
63,65,20.0,8.0,6.0,0.0,144.0,,,0.0,2.4,0.0,3.6,37.0,37.0,70.0,72.0,
64,45,30.0,8.0,17.0,0.0,144.0,,,6.8,0.0,10.2,0.0,53.0,51.0,83.0,84.0,
65,35,40.0,8.0,16.0,0.0,144.0,,,0.0,6.4,0.0,9.6,11.0,8.0,42.0,44.0,
66,41,37.0,8.0,16.0,96.0,180.0,,,0.0,6.4,0.0,9.6,131.0,132.0,163.0,163.0,
