CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,384.0,720.0,,,20.0,0.0,427.0,943.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,30.0,0.0,23.0,554.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,6.5,3.5,255.0,801.0,
4,20,80.0,8.0,40.0,624.0,960.0,,,40.0,0.0,674.0,740.0,
5,20,85.0,16.0,20.0,0.0,576.0,,,12.0,8.0,25.0,532.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,0.0,20.0,384.0,506.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,74.0,642.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,397.0,463.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,20.0,0.0,399.0,466.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,0.0,30.0,533.0,628.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,40.0,0.0,219.0,289.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,11.8,8.2,17.0,560.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,10.0,680.0,746.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,6.6,3.4,14.0,382.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,10.9,9.1,203.0,267.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,11.6,8.4,203.0,443.0,
17,0,45.0,8.0,20.0,624.0,960.0,,,20.0,0.0,685.0,837.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,0.0,20.0,299.0,496.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,27.1,12.9,195.0,441.0,
20,42,15.0,8.0,10.0,384.0,720.0,,,10.0,0.0,477.0,700.0,
21,40,5.0,16.0,10.0,0.0,576.0,,,5.7,4.3,41.0,571.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,40.0,374.0,486.0,
23,38,5.0,16.0,30.0,0.0,576.0,,,17.7,12.3,230.0,294.0,
24,38,15.0,8.0,10.0,624.0,960.0,,,0.0,10.0,585.0,872.0,
25,35,5.0,8.0,20.0,624.0,960.0,,,20.0,0.0,818.0,885.0,
26,95,30.0,16.0,30.0,384.0,720.0,,,16.4,13.6,326.0,854.0,
27,95,35.0,8.0,20.0,0.0,576.0,,,20.0,0.0,138.0,282.0,
28,92,30.0,8.0,10.0,0.0,576.0,,,0.0,10.0,74.0,353.0,
29,90,35.0,16.0,10.0,0.0,576.0,,,7.0,3.0,131.0,389.0,
30,88,30.0,8.0,10.0,0.0,576.0,,,10.0,0.0,249.0,365.0,
31,88,35.0,8.0,20.0,0.0,576.0,,,0.0,20.0,11.0,546.0,
32,87,30.0,8.0,10.0,624.0,960.0,,,10.0,0.0,544.0,801.0,
33,85,25.0,16.0,10.0,0.0,576.0,,,7.4,2.6,63.0,213.0,
34,85,35.0,16.0,30.0,384.0,720.0,,,17.8,12.2,261.0,835.0,
35,67,85.0,8.0,20.0,624.0,960.0,,,0.0,20.0,646.0,778.0,
36,65,85.0,8.0,40.0,0.0,576.0,,,0.0,40.0,35.0,187.0,
37,65,82.0,16.0,10.0,384.0,720.0,,,5.3,4.7,352.0,892.0,
38,62,80.0,8.0,30.0,0.0,576.0,,,30.0,0.0,302.0,368.0,
39,60,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,41.0,203.0,
40,60,85.0,16.0,30.0,0.0,576.0,,,17.4,12.6,336.0,447.0,
41,58,75.0,16.0,20.0,0.0,576.0,,,10.5,9.5,371.0,497.0,
42,55,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,26.0,172.0,
