CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,384.0,720.0,,,0.0,0.0,5.8,2.2,0.0,0.0,9.4,2.6,395.0,392.0,958.0,949.0,
2,22,75.0,32.0,30.0,0.0,576.0,,,5.4,3.3,2.3,1.0,6.5,5.6,3.9,2.0,3.0,23.0,525.0,553.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,3.7,0.0,0.0,0.3,4.9,0.0,0.0,1.1,269.0,285.0,774.0,773.0,
4,20,80.0,8.0,40.0,624.0,960.0,,,16.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,674.0,668.0,734.0,739.0,
5,20,85.0,32.0,20.0,0.0,576.0,,,3.4,2.6,1.9,0.1,5.3,3.8,2.2,0.7,36.0,34.0,564.0,551.0,
6,18,75.0,24.0,20.0,0.0,576.0,,,5.3,0.0,2.0,0.7,7.7,0.0,2.7,1.6,390.0,391.0,509.0,508.0,
7,15,75.0,32.0,20.0,0.0,576.0,,,3.9,2.3,1.1,0.7,5.3,3.7,1.9,1.1,90.0,100.0,620.0,646.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,393.0,395.0,457.0,460.0,
9,10,35.0,32.0,20.0,0.0,576.0,,,3.0,2.8,1.4,0.8,4.8,3.7,3.0,0.5,395.0,399.0,467.0,465.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,0.0,10.3,0.0,1.7,0.0,14.0,0.0,4.0,528.0,535.0,625.0,626.0,
11,8,40.0,32.0,40.0,0.0,576.0,,,6.0,5.3,2.9,1.8,10.5,8.2,4.0,1.4,222.0,220.0,287.0,290.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,17.0,9.0,527.0,563.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,681.0,682.0,747.0,748.0,
14,5,45.0,24.0,10.0,0.0,576.0,,,2.5,0.0,1.3,0.2,3.9,0.0,1.5,0.7,17.0,1.0,380.0,382.0,
15,2,40.0,32.0,20.0,0.0,576.0,,,3.3,2.3,1.6,0.8,5.1,3.7,2.3,0.8,200.0,201.0,265.0,268.0,
16,0,40.0,24.0,20.0,0.0,576.0,,,3.2,2.9,2.0,0.0,5.9,3.3,2.8,0.0,183.0,196.0,446.0,434.0,
17,0,45.0,16.0,20.0,624.0,960.0,,,0.0,5.4,2.6,0.0,0.0,8.1,3.9,0.0,692.0,697.0,833.0,839.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,6.9,0.0,0.0,1.1,9.6,0.0,0.0,2.4,294.0,295.0,500.0,490.0,
19,42,10.0,24.0,40.0,0.0,576.0,,,7.4,5.1,3.4,0.0,11.7,8.8,3.6,0.0,191.0,181.0,431.0,447.0,
20,42,15.0,32.0,10.0,384.0,720.0,,,1.9,1.3,0.6,0.3,2.6,1.7,0.9,0.7,482.0,483.0,706.0,708.0,
21,40,5.0,32.0,10.0,0.0,576.0,,,1.8,1.4,0.6,0.2,2.5,1.7,1.1,0.7,39.0,42.0,568.0,533.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,24.0,373.0,379.0,488.0,493.0,
23,38,5.0,32.0,30.0,0.0,576.0,,,5.0,4.1,1.5,1.3,6.9,5.9,4.0,1.3,227.0,227.0,296.0,291.0,
24,38,15.0,16.0,10.0,624.0,960.0,,,0.0,2.8,0.0,1.2,0.0,5.7,0.0,0.3,588.0,586.0,888.0,874.0,
25,35,5.0,16.0,20.0,624.0,960.0,,,5.0,3.0,0.0,0.0,7.1,4.9,0.0,0.0,820.0,815.0,883.0,883.0,
26,95,30.0,24.0,30.0,384.0,720.0,,,6.7,4.2,0.0,1.2,9.4,6.4,0.0,2.2,343.0,335.0,858.0,861.0,
27,95,35.0,32.0,20.0,0.0,576.0,,,3.6,2.4,1.6,0.4,5.4,3.4,2.4,0.8,129.0,134.0,280.0,284.0,
28,92,30.0,16.0,10.0,0.0,576.0,,,0.0,0.0,2.4,1.6,0.0,0.0,3.8,2.2,76.0,75.0,361.0,359.0,
29,90,35.0,8.0,10.0,0.0,576.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,124.0,126.0,387.0,383.0,
30,88,30.0,32.0,10.0,0.0,576.0,,,1.7,1.3,0.8,0.2,2.5,1.9,1.2,0.4,252.0,251.0,362.0,363.0,
31,88,35.0,24.0,20.0,0.0,576.0,,,0.0,3.9,2.4,1.7,0.0,6.7,3.5,1.8,9.0,42.0,530.0,552.0,
32,87,30.0,24.0,10.0,624.0,960.0,,,1.9,1.6,0.0,0.5,3.4,1.8,0.0,0.8,552.0,550.0,805.0,812.0,
33,85,25.0,16.0,10.0,0.0,576.0,,,3.9,0.0,0.0,0.1,5.0,0.0,0.0,1.0,57.0,71.0,212.0,212.0,
34,85,35.0,16.0,30.0,384.0,720.0,,,9.7,0.0,0.0,2.3,14.8,0.0,0.0,3.2,284.0,265.0,835.0,798.0,
35,67,85.0,24.0,20.0,624.0,960.0,,,5.2,0.0,1.9,0.8,8.4,0.0,2.8,0.9,643.0,655.0,784.0,778.0,
36,65,85.0,24.0,40.0,0.0,576.0,,,10.5,0.0,3.3,2.2,14.7,0.0,7.0,2.3,41.0,32.0,188.0,194.0,
37,65,82.0,8.0,10.0,384.0,720.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,363.0,357.0,902.0,859.0,
38,62,80.0,8.0,30.0,0.0,576.0,,,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,308.0,305.0,373.0,368.0,
39,60,80.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,36.0,34.0,209.0,214.0,
40,60,85.0,24.0,30.0,0.0,576.0,,,5.9,3.9,2.2,0.0,8.4,6.3,3.3,0.0,331.0,333.0,440.0,439.0,
41,58,75.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,367.0,368.0,499.0,498.0,
42,55,80.0,16.0,10.0,0.0,576.0,,,0.0,3.3,0.0,0.7,0.0,4.9,0.0,1.1,19.0,23.0,171.0,168.0,
43,55,85.0,32.0,20.0,384.0,720.0,,,3.7,2.3,1.2,0.8,5.7,4.0,2.1,0.2,521.0,531.0,740.0,746.0,
44,55,82.0,24.0,10.0,0.0,576.0,,,0.0,2.0,1.5,0.5,0.0,3.4,2.3,0.2,245.0,244.0,313.0,310.0,
45,20,82.0,16.0,10.0,0.0,576.0,,,0.0,0.0,3.4,0.6,0.0,0.0,4.9,1.1,35.0,30.0,185.0,181.0,
46,18,80.0,16.0,10.0,384.0,720.0,,,0.0,2.5,1.5,0.0,0.0,4.0,2.0,0.0,412.0,428.0,674.0,677.0,
47,2,45.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,28.0,324.0,349.0,
48,42,5.0,32.0,10.0,384.0,720.0,,,1.9,1.2,0.5,0.3,2.5,1.5,1.3,0.7,415.0,379.0,936.0,932.0,
49,42,12.0,24.0,10.0,0.0,576.0,,,2.1,1.3,0.6,0.0,3.1,1.8,1.1,0.0,458.0,456.0,545.0,540.0,
50,72,35.0,16.0,30.0,384.0,720.0,,,0.0,10.5,0.0,1.5,0.0,14.0,0.0,4.0,288.0,303.0,838.0,821.0,
51,55,20.0,24.0,19.0,0.0,576.0,,,3.6,3.1,0.0,0.9,5.6,5.0,0.0,0.9,260.0,255.0,504.0,519.0,
52,25,30.0,24.0,3.0,0.0,576.0,,,0.7,0.0,0.3,0.2,1.1,0.0,0.6,0.1,9.0,15.0,551.0,510.0,
53,20,50.0,32.0,5.0,0.0,576.0,,,0.9,0.6,0.3,0.1,1.3,0.9,0.5,0.3,403.0,402.0,468.0,468.0,
54,55,60.0,32.0,16.0,384.0,720.0,,,2.8,2.2,0.9,0.5,4.1,3.3,1.4,0.8,542.0,551.0,771.0,775.0,
55,30,60.0,24.0,16.0,384.0,720.0,,,3.1,2.9,0.0,0.5,5.1,3.6,0.0,0.9,626.0,629.0,691.0,693.0,
56,50,35.0,16.0,19.0,384.0,720.0,,,0.0,5.1,2.5,0.0,0.0,6.2,5.2,0.0,549.0,559.0,683.0,680.0,
57,30,25.0,16.0,23.0,0.0,576.0,,,0.0,5.8,3.4,0.0,0.0,8.1,5.7,0.0,341.0,327.0,578.0,573.0,
