CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,218.0,551.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,17.9,12.1,121.0,481.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,5.7,4.3,1073.0,1410.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,1149.0,1525.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,6.0,4.0,12.0,337.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,0.0,20.0,389.0,753.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,12.1,7.9,966.0,1315.0,
8,34,60.0,8.0,20.0,2203.5,3390.0,,,20.0,0.0,2781.0,3138.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,5.8,4.2,2505.0,2860.0,
10,35,66.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2685.0,3041.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2618.0,2947.0,
12,25,85.0,8.0,20.0,1356.0,2542.5,,,0.0,20.0,2008.0,2364.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,30.0,0.0,2311.0,2657.0,
14,22,85.0,16.0,10.0,1356.0,2542.5,,,6.5,3.5,1945.0,2281.0,
15,20,80.0,16.0,40.0,1356.0,2542.5,,,24.7,15.3,2106.0,2466.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,23.3,16.7,1826.0,2194.0,
17,18,75.0,16.0,20.0,2203.5,3390.0,,,11.0,9.0,2221.0,2580.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,13.6,6.4,1657.0,1982.0,
19,15,80.0,16.0,10.0,1356.0,2542.5,,,6.6,3.4,1738.0,2105.0,
20,30,50.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,9.0,344.0,
21,30,56.0,16.0,20.0,2203.5,3390.0,,,12.4,7.6,2888.0,3227.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,10.9,9.1,10.0,340.0,
23,14,66.0,16.0,10.0,0.0,2034.0,,,6.6,3.4,1545.0,1886.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,21.0,367.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,40.0,0.0,2410.0,2746.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,
