CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,24.0,10.0,92.0,172.5,,,1.8,1.4,0.8,0.0,2.9,2.0,1.1,0.0,73.0,59.0,211.0,205.0,
2,35,17.0,24.0,7.0,0.0,138.0,,,0.0,1.4,1.0,0.4,0.0,2.7,1.2,0.3,17.0,12.0,153.0,157.0,
3,55,45.0,16.0,13.0,92.0,172.5,,,4.9,0.0,0.0,0.3,6.4,0.0,0.0,1.4,72.0,76.0,171.0,169.0,
4,55,20.0,8.0,19.0,92.0,172.5,,,7.6,0.0,0.0,0.0,11.4,0.0,0.0,0.0,63.0,69.0,197.0,198.0,
5,15,30.0,16.0,26.0,0.0,138.0,,,0.0,7.0,3.4,0.0,0.0,10.5,5.1,0.0,19.0,17.0,178.0,180.0,
6,25,30.0,32.0,3.0,0.0,138.0,,,0.5,0.4,0.3,0.1,0.9,0.5,0.2,0.1,41.0,47.0,158.0,167.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,26.0,30.0,141.0,139.0,
8,10,43.0,8.0,9.0,0.0,138.0,,,0.0,0.0,3.6,0.0,0.0,0.0,5.4,0.0,41.0,47.0,155.0,150.0,
9,55,60.0,32.0,16.0,0.0,138.0,,,2.8,2.1,1.0,0.6,4.5,2.6,1.9,0.5,43.0,43.0,156.0,159.0,
10,30,60.0,24.0,16.0,92.0,172.5,,,3.1,2.1,1.2,0.0,4.2,2.9,2.6,0.0,80.0,81.0,176.0,174.0,
11,20,65.0,32.0,12.0,0.0,138.0,,,2.2,1.2,0.9,0.5,3.7,2.1,1.2,0.3,22.0,29.0,152.0,160.0,
12,50,35.0,24.0,19.0,0.0,138.0,,,4.8,0.0,2.5,0.3,7.0,0.0,3.6,0.7,6.0,7.0,137.0,134.0,
13,30,25.0,32.0,23.0,92.0,172.5,,,4.0,2.6,1.6,1.0,6.0,3.7,3.0,1.0,68.0,68.0,209.0,212.0,
14,15,10.0,24.0,20.0,0.0,138.0,,,3.8,3.2,0.0,1.0,5.7,4.7,0.0,1.6,32.0,27.0,202.0,195.0,
15,30,5.0,8.0,8.0,0.0,138.0,,,0.0,3.2,0.0,0.0,0.0,4.8,0.0,0.0,27.0,30.0,160.0,154.0,
16,10,20.0,24.0,19.0,0.0,138.0,,,3.8,2.8,0.0,1.1,6.0,4.2,0.0,1.2,27.0,28.0,140.0,142.0,
17,5,30.0,16.0,2.0,92.0,172.5,,,0.6,0.0,0.2,0.0,0.9,0.0,0.3,0.1,51.0,51.0,189.0,194.0,
18,20,40.0,24.0,12.0,0.0,138.0,,,0.0,2.3,1.6,0.9,0.0,4.7,2.2,0.3,42.0,44.0,139.0,139.0,
19,15,60.0,24.0,17.0,0.0,138.0,,,0.0,3.3,2.4,1.1,0.0,5.0,3.8,1.4,31.0,21.0,153.0,151.0,
20,45,65.0,32.0,9.0,92.0,172.5,,,1.6,1.1,0.6,0.3,2.1,1.8,1.3,0.1,71.0,75.0,189.0,187.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,0.0,4.4,0.0,0.0,0.0,6.6,0.0,0.0,9.0,11.0,138.0,141.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,0.0,5.1,2.1,0.0,0.0,7.9,2.9,0.0,46.0,39.0,162.0,163.0,
23,55,5.0,32.0,29.0,0.0,138.0,,,4.5,3.6,2.7,0.8,7.1,5.4,3.5,1.5,30.0,32.0,166.0,162.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,1.2,0.0,0.0,0.0,1.8,0.0,0.0,44.0,44.0,199.0,201.0,
25,65,20.0,32.0,6.0,0.0,138.0,,,1.1,0.7,0.4,0.3,1.5,0.9,0.8,0.3,50.0,53.0,189.0,189.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,,,,,
