CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,600.0,,,0.0,4.0,0.0,6.0,0.0,0.0,993.0,974.0,
2,35,17.0,16.0,7.0,0.0,600.0,,,1.7,1.1,2.6,1.6,0.0,0.0,979.0,974.0,
3,55,45.0,8.0,13.0,0.0,600.0,,,0.0,5.2,0.0,7.8,0.0,0.0,992.0,969.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,5.3,2.3,5.7,5.7,602.0,608.0,867.0,868.0,
5,15,30.0,16.0,26.0,0.0,600.0,,,5.9,4.5,10.1,5.5,0.0,0.0,974.0,982.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,0.8,0.4,1.0,0.8,334.0,339.0,601.0,597.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,2.0,0.0,3.0,0.0,0.0,0.0,972.0,972.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,1.9,1.7,3.1,2.3,316.0,323.0,586.0,576.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,6.4,0.0,9.6,0.0,319.0,322.0,588.0,570.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,6.4,0.0,9.6,0.0,461.0,483.0,726.0,740.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,4.8,0.0,7.2,0.0,124.0,126.0,394.0,405.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,7.6,0.0,11.4,0.0,0.0,0.0,992.0,996.0,
13,30,25.0,16.0,23.0,650.0,1000.0,,,4.7,4.5,8.6,5.2,631.0,617.0,879.0,886.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,8.0,0.0,12.0,0.0,28.0,20.0,281.0,290.0,
15,30,5.0,8.0,8.0,0.0,600.0,,,3.2,0.0,4.8,0.0,99.0,96.0,376.0,370.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,7.6,0.0,11.4,0.0,197.0,185.0,448.0,451.0,
17,5,30.0,8.0,2.0,650.0,1000.0,,,0.8,0.0,1.2,0.0,679.0,677.0,922.0,944.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,3.3,1.5,4.3,2.9,286.0,278.0,534.0,528.0,
19,15,60.0,16.0,17.0,0.0,600.0,,,3.7,3.1,6.9,3.3,198.0,189.0,457.0,462.0,
20,45,65.0,8.0,9.0,400.0,750.0,,,0.0,3.6,0.0,5.4,502.0,481.0,753.0,758.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,4.4,0.0,6.6,0.0,0.0,0.0,974.0,992.0,
22,45,10.0,16.0,18.0,0.0,600.0,,,4.7,2.5,5.7,5.1,329.0,325.0,574.0,575.0,
23,55,5.0,16.0,29.0,0.0,600.0,,,6.2,5.4,9.4,8.0,137.0,139.0,397.0,386.0,
24,65,35.0,8.0,3.0,650.0,1000.0,,,1.2,0.0,1.8,0.0,656.0,646.0,906.0,899.0,
25,65,20.0,16.0,6.0,650.0,1000.0,,,1.4,1.0,2.4,1.2,714.0,713.0,972.0,969.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
