CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,650.0,1000.0,,,6.0,4.0,410.0,981.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,7.0,0.0,1.0,550.0,
3,55,45.0,16.0,13.0,400.0,750.0,,,8.5,4.5,366.0,762.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,12.8,6.2,465.0,983.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,0.0,26.0,0.0,645.0,
6,25,30.0,8.0,3.0,0.0,600.0,,,3.0,0.0,239.0,691.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,5.0,0.0,146.0,592.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,5.3,3.7,218.0,673.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,16.0,0.0,200.0,686.0,
10,30,60.0,16.0,16.0,400.0,750.0,,,10.6,5.4,416.0,784.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,0.0,12.0,4.0,533.0,
12,50,35.0,16.0,19.0,0.0,600.0,,,13.4,5.6,39.0,525.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,23.0,0.0,461.0,981.0,
14,15,10.0,16.0,20.0,0.0,600.0,,,13.0,7.0,22.0,694.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,4.3,3.7,4.0,565.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,0.0,19.0,72.0,566.0,
17,5,30.0,8.0,2.0,650.0,1000.0,,,0.0,2.0,395.0,992.0,
18,20,40.0,8.0,12.0,0.0,600.0,,,12.0,0.0,201.0,596.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,17.0,0.0,60.0,555.0,
20,45,65.0,16.0,9.0,400.0,750.0,,,5.8,3.2,378.0,835.0,
21,45,20.0,16.0,11.0,0.0,600.0,,,7.0,4.0,28.0,545.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,0.0,18.0,229.0,673.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,0.0,29.0,23.0,548.0,
24,65,35.0,8.0,3.0,400.0,750.0,,,3.0,0.0,426.0,984.0,
25,65,20.0,16.0,6.0,400.0,750.0,,,4.3,1.7,402.0,957.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
