CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,0.0,576.0,,,13.2,6.8,0.0,929.0,
2,22,75.0,16.0,30.0,0.0,576.0,,,21.5,8.5,0.0,926.0,
3,22,85.0,16.0,10.0,0.0,576.0,,,7.4,2.6,0.0,928.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,24.7,15.3,641.0,773.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,933.0,
6,18,75.0,16.0,20.0,0.0,576.0,,,11.3,8.7,383.0,508.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,953.0,
8,15,80.0,16.0,10.0,0.0,576.0,,,7.0,3.0,359.0,488.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,20.0,0.0,364.0,493.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,0.0,30.0,517.0,643.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,0.0,40.0,186.0,325.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,943.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,10.0,643.0,782.0,
14,5,45.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,935.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,10.2,9.8,162.0,299.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,11.2,8.8,0.0,928.0,
17,0,45.0,16.0,20.0,624.0,960.0,,,11.9,8.1,703.0,823.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,915.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,26.8,13.2,0.0,926.0,
20,42,15.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,922.0,
21,40,5.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,946.0,
22,40,15.0,16.0,40.0,0.0,576.0,,,22.8,17.2,370.0,498.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,30.0,0.0,189.0,324.0,
24,38,15.0,16.0,10.0,0.0,576.0,,,6.1,3.9,0.0,948.0,
25,35,5.0,16.0,20.0,624.0,960.0,,,11.9,8.1,784.0,906.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
