CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,384.0,720.0,,,8.0,0.0,12.0,0.0,350.0,351.0,939.0,944.0,
2,22,75.0,16.0,30.0,0.0,576.0,,,7.5,4.5,9.8,8.2,26.0,2.0,579.0,576.0,
3,22,85.0,8.0,10.0,384.0,720.0,,,4.0,0.0,6.0,0.0,320.0,352.0,717.0,711.0,
4,20,80.0,16.0,40.0,384.0,720.0,,,9.8,6.2,15.1,8.9,378.0,377.0,949.0,917.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,12.0,22.0,640.0,647.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,209.0,214.0,690.0,698.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,5.4,2.6,6.9,5.1,140.0,134.0,586.0,567.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,4.0,0.0,6.0,0.0,229.0,216.0,643.0,639.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,201.0,177.0,662.0,665.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,7.5,4.5,12.6,5.4,372.0,395.0,771.0,775.0,
11,8,40.0,16.0,40.0,0.0,576.0,,,11.0,5.0,15.8,8.2,1.0,12.0,530.0,521.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,18.0,26.0,557.0,542.0,
13,5,35.0,16.0,10.0,384.0,720.0,,,2.3,1.7,3.7,2.3,384.0,394.0,938.0,933.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.7,1.3,3.2,2.8,31.0,5.0,728.0,701.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,4.6,3.4,7.8,4.2,1.0,11.0,565.0,552.0,
16,0,40.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,82.0,75.0,543.0,574.0,
17,0,45.0,16.0,20.0,384.0,720.0,,,5.5,2.5,8.2,3.8,386.0,390.0,916.0,910.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,5.0,3.0,8.5,3.5,195.0,200.0,595.0,571.0,
19,42,10.0,8.0,40.0,0.0,576.0,,,16.0,0.0,24.0,0.0,66.0,50.0,563.0,561.0,
20,42,15.0,8.0,10.0,384.0,720.0,,,0.0,4.0,0.0,6.0,384.0,373.0,823.0,821.0,
21,40,5.0,16.0,10.0,0.0,576.0,,,2.6,1.4,3.4,2.6,29.0,3.0,555.0,555.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,16.0,0.0,24.0,197.0,202.0,672.0,646.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,0.0,12.0,0.0,18.0,10.0,8.0,523.0,565.0,
24,38,15.0,16.0,10.0,384.0,720.0,,,2.6,1.4,3.8,2.2,337.0,375.0,925.0,925.0,
25,35,5.0,16.0,20.0,384.0,720.0,,,4.5,3.5,8.2,3.8,350.0,335.0,917.0,905.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
