CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,32.0,10.0,803.4,1236.0,,,2.0,1.1,0.7,0.2,2.2,2.0,1.2,0.6,850.0,846.0,1038.0,1040.0,
2,45,70.0,24.0,30.0,494.4,927.0,,,6.1,5.6,0.0,0.3,9.6,7.4,0.0,0.9,749.0,747.0,956.0,955.0,
3,42,66.0,24.0,10.0,0.0,741.6,,,2.0,1.2,0.7,0.0,2.7,2.2,1.1,0.0,4.0,2.0,214.0,208.0,
4,42,68.0,24.0,10.0,494.4,927.0,,,1.7,1.5,0.9,0.0,2.6,2.2,1.2,0.0,657.0,656.0,848.0,849.0,
5,42,65.0,24.0,10.0,0.0,741.6,,,0.0,2.0,1.1,0.9,0.0,3.3,1.9,0.8,14.0,6.0,198.0,204.0,
6,40,69.0,32.0,20.0,494.4,927.0,,,3.4,2.1,1.9,0.6,6.1,3.1,2.2,0.6,565.0,566.0,765.0,766.0,
7,40,66.0,32.0,20.0,0.0,741.6,,,3.5,2.3,1.6,0.6,5.6,3.6,2.0,0.9,90.0,108.0,296.0,290.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,4.7,3.3,0.0,0.0,6.5,5.5,0.0,0.0,194.0,183.0,393.0,393.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,470.0,474.0,668.0,668.0,
10,35,66.0,8.0,10.0,0.0,741.6,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,277.0,294.0,489.0,480.0,
11,35,69.0,16.0,10.0,0.0,741.6,,,3.4,0.0,0.0,0.6,4.7,0.0,0.0,1.3,370.0,378.0,568.0,583.0,
12,25,85.0,8.0,20.0,494.4,927.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,592.0,586.0,791.0,794.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,6.4,5.6,0.0,0.0,10.3,7.7,0.0,0.0,27.0,28.0,219.0,211.0,
14,22,85.0,8.0,10.0,0.0,741.6,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,499.0,504.0,688.0,702.0,
15,20,80.0,32.0,40.0,0.0,741.6,,,7.0,4.3,3.8,0.9,9.0,7.7,5.2,2.2,307.0,311.0,505.0,512.0,
16,20,85.0,32.0,40.0,0.0,741.6,,,6.5,5.0,3.6,0.9,10.5,5.8,5.7,2.1,399.0,405.0,606.0,606.0,
17,18,75.0,16.0,20.0,0.0,741.6,,,0.0,0.0,5.5,2.5,0.0,0.0,7.6,4.4,24.0,28.0,225.0,230.0,
18,15,75.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,127.0,111.0,317.0,325.0,
