CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,2.7,1.3,4.0,2.0,0.0,0.0,3341.0,3357.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,7.9,4.1,11.7,6.3,0.0,0.0,3328.0,3375.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,0.0,0.0,3359.0,3297.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,2.2,1.8,3.4,2.6,1260.0,1261.0,1434.0,1436.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,0.0,0.0,3291.0,3385.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,8.0,0.0,12.0,0.0,484.0,487.0,666.0,673.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,5.1,2.9,7.0,5.0,0.0,0.0,3366.0,3376.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,5.8,2.2,8.7,3.3,2880.0,2884.0,3060.0,3059.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,6.0,0.0,2592.0,2589.0,2766.0,2776.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,2.5,1.5,3.6,2.4,2785.0,2777.0,2966.0,2964.0,
11,35,69.0,16.0,10.0,2203.5,3390.0,,,2.6,1.4,3.8,2.2,2695.0,2685.0,2867.0,2862.0,
12,25,85.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,0.0,0.0,3298.0,3380.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,12.0,0.0,18.0,0.0,2401.0,2400.0,2579.0,2581.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,0.0,4.0,0.0,6.0,2025.0,2024.0,2194.0,2186.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,16.0,0.0,24.0,0.0,2212.0,2212.0,2381.0,2387.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,9.7,6.3,14.7,9.3,1927.0,1918.0,2096.0,2104.0,
17,18,75.0,16.0,20.0,1356.0,2542.5,,,5.1,2.9,7.7,4.3,2303.0,2305.0,2476.0,2475.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,4.2,3.8,8.2,3.8,1735.0,1728.0,1904.0,1902.0,
