CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,32.0,20.0,0.0,576.0,,,3.9,2.5,1.4,0.2,5.1,4.2,2.2,0.5,0.0,0.0,917.0,938.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,938.0,934.0,
3,22,85.0,16.0,10.0,0.0,576.0,,,0.0,3.3,0.0,0.7,0.0,4.4,0.0,1.6,0.0,0.0,921.0,932.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,8.5,7.5,0.0,0.0,14.2,9.8,0.0,0.0,635.0,642.0,772.0,773.0,
5,20,85.0,32.0,20.0,0.0,576.0,,,3.3,2.3,1.5,0.9,4.7,3.5,2.9,1.0,0.0,0.0,936.0,932.0,
6,18,75.0,16.0,20.0,0.0,576.0,,,5.4,0.0,2.6,0.0,9.4,0.0,2.6,0.0,387.0,383.0,511.0,514.0,
7,15,75.0,24.0,20.0,0.0,576.0,,,0.0,4.1,3.4,0.5,0.0,6.8,3.6,1.6,0.0,0.0,948.0,950.0,
8,15,80.0,24.0,10.0,0.0,576.0,,,0.0,1.9,1.4,0.7,0.0,3.0,2.0,1.1,357.0,363.0,489.0,497.0,
9,10,35.0,24.0,20.0,0.0,576.0,,,3.9,2.8,1.3,0.0,6.1,3.9,2.0,0.0,366.0,360.0,503.0,494.0,
10,10,40.0,32.0,30.0,384.0,720.0,,,5.1,4.0,2.5,0.4,8.6,4.5,2.8,2.1,510.0,513.0,647.0,651.0,
11,8,40.0,32.0,40.0,0.0,576.0,,,6.2,4.9,3.9,0.9,10.5,8.1,3.8,1.6,193.0,190.0,323.0,317.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,0.0,7.6,0.0,0.4,0.0,9.3,0.0,2.7,0.0,0.0,940.0,935.0,
13,5,35.0,24.0,10.0,624.0,960.0,,,1.9,1.3,0.8,0.0,2.8,2.3,0.9,0.0,641.0,644.0,784.0,775.0,
14,5,45.0,32.0,10.0,0.0,576.0,,,1.9,1.3,0.5,0.3,2.4,2.0,0.9,0.7,0.0,0.0,919.0,915.0,
15,2,40.0,24.0,20.0,0.0,576.0,,,3.8,2.6,1.6,0.0,6.2,3.8,1.9,0.0,164.0,167.0,303.0,294.0,
16,0,40.0,8.0,20.0,0.0,576.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,921.0,939.0,
17,0,45.0,8.0,20.0,624.0,960.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,696.0,691.0,823.0,835.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,5.3,0.0,2.7,0.0,7.8,0.0,4.2,0.0,0.0,0.0,930.0,950.0,
19,42,10.0,8.0,40.0,0.0,576.0,,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,24.0,0.0,0.0,929.0,921.0,
20,42,15.0,24.0,10.0,0.0,576.0,,,0.0,2.0,1.6,0.3,0.0,3.2,2.5,0.2,0.0,0.0,953.0,939.0,
21,40,5.0,32.0,10.0,0.0,576.0,,,1.6,1.4,0.9,0.2,2.6,2.3,1.0,0.1,0.0,0.0,951.0,920.0,
22,40,15.0,32.0,40.0,0.0,576.0,,,5.9,5.3,3.3,1.5,10.6,7.2,4.9,1.3,369.0,372.0,497.0,502.0,
23,38,5.0,16.0,30.0,0.0,576.0,,,0.0,8.6,3.4,0.0,0.0,9.3,8.7,0.0,189.0,201.0,325.0,332.0,
24,38,15.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,928.0,928.0,
25,35,5.0,24.0,20.0,624.0,960.0,,,0.0,3.7,3.0,1.3,0.0,7.1,3.8,1.1,775.0,782.0,913.0,906.0,
26,95,30.0,8.0,30.0,0.0,576.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,952.0,913.0,
27,95,35.0,32.0,20.0,0.0,576.0,,,3.5,2.5,1.5,0.5,5.5,3.9,2.5,0.2,136.0,144.0,274.0,266.0,
