CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,45,68.0,8,0.6,0.0,741.6
2,45,70.0,8,2.1,0.0,741.6
3,42,66.0,8,0.6,0.0,741.6
4,42,68.0,8,2.8,494.4,927.0
5,42,65.0,8,0.8999999999999999,0.0,741.6
8,38,68.0,8,1.2,0.0,741.6
10,35,66.0,8,1.3,0.0,741.6
11,35,69.0,8,0.6000000000000001,0.0,741.6
12,25,85.0,8,1.1,0.0,741.6
13,22,75.0,8,2.5,0.0,741.6
14,22,85.0,8,0.4,0.0,741.6
15,20,80.0,8,3.6,0.0,741.6
17,18,75.0,8,2.3,0.0,741.6
19,15,80.0,8,2.4,0.0,741.6
21,30,52.0,8,1.6,0.0,741.6
22,28,52.0,8,20.0,494.4,927.0
23,28,55.0,8,0.2,494.4,927.0
24,25,50.0,8,1.1,0.0,741.6
25,25,52.0,8,4.2,0.0,741.6
26,25,55.0,8,1.4,0.0,741.6
27,23,52.0,8,0.8,0.0,741.6
28,23,55.0,8,3.0,0.0,741.6
30,20,55.0,8,1.2000000000000002,0.0,741.6
33,8,40.0,8,2.4,0.0,741.6
35,5,35.0,8,1.7,0.0,741.6
37,2,40.0,8,2.2,0.0,741.6
38,0,40.0,8,3.3,0.0,741.6
39,0,45.0,8,0.7,0.0,741.6
40,35,30.0,8,0.6,0.0,741.6
41,35,32.0,8,0.7,0.0,741.6
42,33,32.0,8,0.9,0.0,741.6
44,32,30.0,8,0.8,0.0,741.6
46,30,32.0,8,2.1,0.0,741.6
48,28,30.0,8,0.7,0.0,741.6
49,28,35.0,8,0.7,803.4,1236.0
50,26,32.0,8,0.8,0.0,741.6
51,25,30.0,8,1.2,0.0,741.6
53,44,5.0,8,1.4,0.0,741.6
55,42,15.0,8,10.0,0.0,741.6
57,40,15.0,8,14.0,0.0,741.6
61,50,30.0,8,1.1,0.0,741.6
64,48,30.0,8,0.4,0.0,741.6
66,47,35.0,8,0.7,494.4,927.0
67,47,40.0,8,0.7,0.0,741.6
68,45,30.0,8,2.0,494.4,927.0
69,45,35.0,8,1.0,803.4,1236.0
71,95,35.0,8,1.2,0.0,741.6
72,53,30.0,8,10.0,0.0,741.6
73,92,30.0,8,2.4000000000000004,0.0,741.6
74,53,35.0,8,6.9,0.0,741.6
75,45,65.0,8,1.5,0.0,741.6
76,90,35.0,8,0.5,0.0,741.6
77,88,30.0,8,0.8999999999999999,0.0,741.6
80,85,25.0,8,1.1,494.4,927.0
81,85,35.0,8,1.0,0.0,741.6
82,75,55.0,8,1.9,0.0,741.6
83,72,55.0,8,1.3,0.0,741.6
86,66,55.0,8,1.1,0.0,741.6
90,60,55.0,8,1.0,0.0,741.6
92,67,85.0,8,20.0,0.0,741.6
94,65,82.0,8,2.8,0.0,741.6
96,60,80.0,8,10.0,0.0,741.6
97,60,85.0,8,5.1,0.0,741.6
99,55,80.0,8,0.4,494.4,927.0
101,40,50.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
